date,state,fips,cases,deaths,confirmed_cases,confirmed_deaths,probable_cases,probable_deaths,latitude,longitude,population_2019
12/2/2020,Alabama,1,256828,3711,213172,3326,43656,385,32.318231,-86.902298,4903185
12/2/2020,Alaska,2,33614,116,0,116,33614,0,63.588753,-154.493062,731545
12/2/2020,Arizona,4,342925,6755,,,,,34.048928,-111.093731,7278717
12/2/2020,Arkansas,5,159309,2512,139198,2304,20111,208,35.20105,-91.831833,3017804
12/2/2020,California,6,1262272,19359,1258340,19359,3932,0,36.778261,-119.417932,39512223
12/2/2020,Colorado,8,239480,3136,,,,,39.550051,-105.782067,5758736
12/2/2020,Connecticut,9,118754,5040,,,,,41.603221,-73.087749,3565287
12/2/2020,Delaware,10,36698,779,,,,,38.910832,-75.52767,973764
12/2/2020,District of Columbia,11,21842,690,21842,690,0,0,38.905985,-77.033418,705749
12/2/2020,Florida,12,1018152,18775,0,18775,1018152,0,27.664827,-81.515754,21477737
12/2/2020,Georgia,13,464417,9301,411499,8617,52918,684,32.1656,-82.9001,10617423
12/2/2020,Guam,66,7858,113,7726,113,132,0,#N/A,#N/A,#N/A
12/2/2020,Hawaii,15,18049,242,,,,,19.898682,-155.665857,1415872
12/2/2020,Idaho,16,103642,966,87556,881,16086,85,44.068202,-114.742041,1787065
12/2/2020,Illinois,17,749801,13429,719384,12721,30417,708,40.633125,-89.398528,12671821
12/2/2020,Indiana,18,353722,5973,350970,5688,2752,285,40.551217,-85.602364,6732219
12/2/2020,Iowa,19,234800,2449,234800,2449,0,0,41.878003,-93.097702,3155070
12/2/2020,Kansas,20,164558,1679,,,,,39.011902,-98.484246,2913314
12/2/2020,Kentucky,21,188078,2114,,,,,37.839333,-84.270018,4467673
12/2/2020,Louisiana,22,241335,6501,227780,6231,13555,270,31.244823,-92.145024,4648794
12/2/2020,Maine,23,12208,218,10870,218,1338,0,45.253783,-69.445469,1344212
12/2/2020,Maryland,24,203512,4715,203355,4558,157,157,39.045755,-76.641271,6045680
12/2/2020,Massachusetts,25,229205,10778,221174,10542,8031,236,42.407211,-71.382437,6892503
12/2/2020,Michigan,26,395298,9757,365983,9322,29315,435,44.314844,-85.602364,9986857
12/2/2020,Minnesota,27,327536,3751,320301,3613,7235,138,46.729553,-94.6859,5639632
12/2/2020,Mississippi,28,156868,3851,123746,3346,33122,505,32.354668,-89.398528,2976149
12/2/2020,Missouri,29,320444,4183,317258,4182,3186,1,37.964253,-91.831833,6137428
12/2/2020,Montana,30,64399,713,64399,713,0,0,46.879682,-110.362566,1068778
12/2/2020,Nebraska,31,130194,1086,41250,292,88944,794,41.492537,-99.901813,1934408
12/2/2020,Nevada,32,157009,2202,156996,2202,13,0,38.80261,-116.419389,3080156
12/2/2020,New Hampshire,33,21766,528,0,,21766,,43.193852,-71.572395,1359711
12/2/2020,New Jersey,34,348042,17145,346206,15309,1836,1836,40.058324,-74.405661,8882190
12/2/2020,New Mexico,35,99419,1589,99419,1589,0,0,34.97273,-105.032363,2096829
12/2/2020,New York,36,669016,34286,664322,29592,4694,4694,43.299428,-74.217933,19453561
12/2/2020,North Carolina,37,372152,5394,350800,5209,21352,185,35.759573,-79.0193,10488084
12/2/2020,North Dakota,38,80141,972,80135,966,6,6,47.551493,-101.002012,762062
12/2/2020,Northern Mariana Islands,69,106,2,106,2,0,0,#N/A,#N/A,#N/A
12/2/2020,Ohio,39,437928,6671,,,,,40.417287,-82.907123,11689100
12/2/2020,Oklahoma,40,202341,1812,0,1812,202341,0,35.007752,-97.092877,3956971
12/2/2020,Oregon,41,76786,940,73911,555,2875,385,43.804133,-120.554201,4217737
12/2/2020,Pennsylvania,42,381342,10803,,,,,41.203322,-77.194525,12801989
12/2/2020,Puerto Rico,72,87323,1144,52009,918,35314,226,18.220833,-66.590149,3193694
12/2/2020,Rhode Island,44,59005,1391,0,924,59005,467,41.580095,-71.477429,1059361
12/2/2020,South Carolina,45,220835,4444,206653,4126,14182,318,33.836081,-81.163725,5148714
12/2/2020,South Dakota,46,82203,995,76438,,5765,,43.969515,-99.901813,884659
12/2/2020,Tennessee,47,375764,4635,345529,1325,30235,3310,35.517491,-86.580447,6829174
12/2/2020,Texas,48,1280121,22228,1197307,15773,82814,6455,31.968599,-99.901813,28995881
12/2/2020,Utah,49,202220,906,54831,403,147389,503,39.32098,-111.093731,3205958
12/2/2020,Vermont,50,4461,74,4461,74,0,0,44.558803,-72.577841,623989
12/2/2020,Virginia,51,242480,4113,,,,,37.431573,-78.656894,8535519
12/2/2020,Virgin Islands,78,1563,23,1563,23,0,0,#N/A,#N/A,#N/A
12/2/2020,Washington,53,175118,2928,169620,2856,5498,72,47.751074,-120.740139,7614893
12/2/2020,West Virginia,54,49905,778,42269,739,7636,39,38.597626,-80.454903,1792147
12/2/2020,Wisconsin,55,420930,3714,395435,3549,25495,165,43.78444,-88.787868,5822434
12/2/2020,Wyoming,56,33805,230,29389,,4416,,43.075968,-107.290284,578759
